product_author,product_imagelink,product_name,product_price
Mark Manson,"https://images-eu.ssl-images-amazon.com/images/I/71t4GuxLCuL._AC_UL300_SR300,200_.jpg",The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,₹325.00
"Rashmi Gupta Sonal Singh ,Ruchi Kapoor,Imran Ahmad , Sanubai","https://images-eu.ssl-images-amazon.com/images/I/717+jWSjTUL._AC_UL300_SR300,200_.jpg",CBSE All In One Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),₹382.00
Jeff Keller,"https://images-eu.ssl-images-amazon.com/images/I/710jnzKlDTL._AC_UL300_SR300,200_.jpg",Attitude Is Everything: Change Your Attitude ... Change Your Life!,₹135.00
Napoleon Hill,"https://images-eu.ssl-images-amazon.com/images/I/71UwU-b+aTS._AC_UL300_SR300,200_.jpg",Think & Grow Rich (Hindi),₹96.00
Brian Tracy,"https://images-eu.ssl-images-amazon.com/images/I/61ZNAnIrwwL._AC_UL300_SR300,200_.jpg",Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,₹171.00
Viktor E Frankl,"https://images-eu.ssl-images-amazon.com/images/I/61nTspM+BYL._AC_UL300_SR300,200_.jpg",Man's Search For Meaning: The classic tribute to hope from the Holocaust,₹208.00
Arihantbooks,"https://images-eu.ssl-images-amazon.com/images/I/611Gv6FjP7L._AC_UL300_SR300,200_.jpg",CBSE Mathematics Chapterwise Solved Papers Class 12th for 2023 Exam (As per Latest syllabus 2022-23),₹217.00
E C Axus,"https://images-eu.ssl-images-amazon.com/images/I/81j0Jii6mZL._AC_UL300_SR300,200_.jpg",Picture Books Collection for Early Learning (Set of 12),₹221.00
H.C. Verma,"https://images-eu.ssl-images-amazon.com/images/I/91rasc9GEgL._AC_UL300_SR300,200_.jpg",Concept of Physics by H.C Verma Part - I - Session 2022-23,₹345.00
Oxford University Press,"https://images-eu.ssl-images-amazon.com/images/I/71oHphHM71L._AC_UL300_SR300,200_.jpg","Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",₹268.90
Roger Fritz,"https://images-eu.ssl-images-amazon.com/images/I/81JByBEqw+S._AC_UL300_SR300,200_.jpg",The Power of A Positive Attitude: Your Road To Success,₹99.00
Rajiv Malhotra,"https://images-eu.ssl-images-amazon.com/images/I/91J8IoTf-ZL._AC_UL300_SR300,200_.jpg",Snakes in the Ganga: Breaking India 2.0,₹640.00
Robin Sharma,"https://images-eu.ssl-images-amazon.com/images/I/71zytzrg6lL._AC_UL300_SR300,200_.jpg",The 5 AM Club,₹230.00
Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/814zov0PvQL._AC_UL300_SR300,200_.jpg","Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",₹159.00
Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/710GgrTea1L._AC_UL300_SR300,200_.jpg","Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",₹226.00
"Rao N,D,V,Prasada","https://images-eu.ssl-images-amazon.com/images/I/617ni21vHsL._AC_UL300_SR300,200_.jpg",Wren And Martin -high School English Grammar,₹320.00
Colleen Hoover,"https://images-eu.ssl-images-amazon.com/images/I/71E8VNPC1dL._AC_UL300_SR300,200_.jpg",Ugly Love: A Novel,₹230.00
Om Books Editorial Team,"https://images-eu.ssl-images-amazon.com/images/I/9173YBkMIsL._AC_UL300_SR300,200_.jpg",101 Panchatantra Stories for Children: Colourful Illustrated Story book,₹144.00
Paulo Coelho,"https://images-eu.ssl-images-amazon.com/images/I/71aFt4+OTOL._AC_UL300_SR300,200_.jpg",The Alchemist,₹228.00
Joseph Murphy,"https://images-eu.ssl-images-amazon.com/images/I/71ox+pwkgrS._AC_UL300_SR300,200_.jpg",Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),₹99.00
Sudha Murty,"https://images-eu.ssl-images-amazon.com/images/I/818mZjcEJ4L._AC_UL300_SR300,200_.jpg",Grandparents' Bag of Stories,₹152.00
Prafulla Wankhede,"https://images-eu.ssl-images-amazon.com/images/I/61cdqObcaTL._AC_UL300_SR300,200_.jpg",Goshta Paishapanyachi,₹211.00
Jay Shetty,"https://images-eu.ssl-images-amazon.com/images/I/81s6DUyQCZL._AC_UL300_SR300,200_.jpg",Think Like a Monk: The secret of how to harness the power of positivity and be happy now,₹249.00
Oswaal Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/81wRIsmnKCL._AC_UL300_SR300,200_.jpg",Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Social Science Book (For 2023 Exam),₹456.00
Oswaal Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/81itaZBhn-L._AC_UL300_SR300,200_.jpg",Oswaal CBSE Sample Question Papers Class 10 Social Science Book for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),₹248.00
MTG Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/81usodzGkiL._AC_UL300_SR300,200_.jpg",Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,₹482.00
Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/7124v3KPB6L._AC_UL300_SR300,200_.jpg",My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,₹159.00
Darius Foroux,"https://images-eu.ssl-images-amazon.com/images/I/71Yb9hJXocL._AC_UL300_SR300,200_.jpg","Think Straight: Change Your Thoughts, Change Your Life",₹98.00
Ken Honda,"https://images-eu.ssl-images-amazon.com/images/I/61AD8EbVDTL._AC_UL300_SR300,200_.jpg",HAPPY MONEY,₹293.00
